Contrat_ID;Type_Couverture;Age_Conducteur;Puissance_Vehicule_CV;Prime_Annuelle_Euros;Nombre_Sinistres;Cout_Indemnisation_Euros
ASS-01;Tiers;21;90;750.0;1;2400.0
ASS-02;TousRisques;45;110;950.0;0;0.0
ASS-03;TousRisques;58;130;1100.0;0;0.0
ASS-04;Tiers;19;75;850.0;2;8500.0
ASS-05;TousRisques;34;150;1300.0;0;0.0
ASS-06;Tiers;62;90;600.0;0;0.0
ASS-07;TousRisques;23;140;1600.0;1;14200.0
ASS-08;TousRisques;50;115;980.0;0;0.0
ASS-09;Tiers;29;85;680.0;0;0.0
ASS-10;TousRisques;41;160;1450.0;1;3800.0
ASS-11;Tiers;72;80;550.0;0;0.0
ASS-12;TousRisques;25;120;1250.0;0;0.0
ASS-13;Tiers;38;95;710.0;0;0.0
ASS-14;TousRisques;52;180;1750.0;1;22000.0
ASS-15;Tiers;31;85;660.0;0;0.0
CTR-016;Tiers;34;142;499.0;0;0.0
CTR-017;Tiers étendu;72;128;603.0;0;0.0
CTR-018;Tiers étendu;39;129;682.0;0;0.0
CTR-019;Intermédiaire;22;135;925.0;1;430.0
CTR-020;Tiers étendu;45;194;1011.0;1;1550.0
CTR-021;Intermédiaire;60;148;971.0;0;0.0
CTR-022;Tiers;43;182;630.0;0;0.0
CTR-023;Intermédiaire;29;139;969.0;0;0.0
CTR-024;Tiers étendu;38;97;567.0;0;0.0
CTR-025;Tiers étendu;67;73;412.0;0;0.0
CTR-026;Tiers;28;153;537.0;0;0.0
CTR-027;Tiers étendu;51;148;776.0;0;0.0
CTR-028;Tiers;53;166;536.0;0;0.0
CTR-029;Tiers étendu;71;186;845.0;0;0.0
CTR-030;Intermédiaire;25;50;455.0;1;1827.0
CTR-031;Tiers;24;85;357.0;0;0.0
CTR-032;Tiers;60;162;497.0;1;219.0
CTR-033;Intermédiaire;73;193;1189.0;1;1113.0
CTR-034;Tiers;66;64;246.0;0;0.0
CTR-035;Tiers;47;147;531.0;0;0.0
CTR-036;Intermédiaire;32;52;412.0;0;0.0
CTR-037;Tiers;44;100;398.0;0;0.0
CTR-038;Intermédiaire;39;73;579.0;0;0.0
CTR-039;Intermédiaire;78;161;948.0;1;1906.0
CTR-040;Tiers étendu;66;163;816.0;0;0.0
CTR-041;Tiers;34;166;538.0;0;0.0
CTR-042;Tous risques;74;81;714.0;1;615.0
CTR-043;Tiers;71;141;440.0;0;0.0
CTR-044;Tous risques;37;67;707.0;0;0.0
CTR-045;Tiers étendu;67;68;337.0;1;322.0
CTR-046;Tiers étendu;54;80;403.0;0;0.0
CTR-047;Tiers;24;192;690.0;1;698.0
CTR-048;Tiers étendu;66;158;731.0;0;0.0
CTR-049;Intermédiaire;20;165;1015.0;0;0.0
CTR-050;Tiers;73;92;315.0;0;0.0
CTR-051;Tiers étendu;70;168;770.0;0;0.0
CTR-052;Tiers;52;73;257.0;0;0.0
CTR-053;Tiers;38;101;345.0;0;0.0
CTR-054;Tiers étendu;43;134;660.0;0;0.0
CTR-055;Tiers;65;172;561.0;0;0.0
CTR-056;Tous risques;18;195;1810.0;1;2273.0
CTR-057;Tiers étendu;66;151;758.0;0;0.0
CTR-058;Tous risques;33;190;1782.0;2;2319.0
CTR-059;Tous risques;76;117;932.0;0;0.0
