Etudiant_ID;Niveau;Temps_Video_Heures;Exercices_Completes;Tentatives_Quiz;Note_Examen_Sur_20;Niveau_Etude;Temps_Apprentissage_Heures_Semaine;Type_Cours;Score_Final;Taux_Completion_Pct
ETU-201;Licence;12.0;25.0;5;11,5;;;;;
ETU-202;Licence;25.0;50.0;10;15,0;;;;;
ETU-203;Licence;40.0;80.0;15;18,5;;;;;
ETU-204;Master;45.0;90.0;18;19,5;;;;;
ETU-205;Master;60.0;100.0;22;20,0;;;;;
ETU-206;Licence;5.0;10.0;2;8,0;;;;;
ETU-207;Licence;18.0;35.0;7;13,0;;;;;
ETU-208;Master;35.0;70.0;14;17,5;;;;;
ETU-209;Master;50.0;95.0;20;20,0;;;;;
ETU-210;Licence;8.0;15.0;3;9,5;;;;;
ETU-211;Master;70.0;100.0;25;20,0;;;;;
ETU-212;Licence;30.0;60.0;12;16,5;;;;;
ETU-213;Licence;22.0;45.0;9;14,0;;;;;
ETU-214;Master;55.0;98.0;21;20,0;;;;;
ETU-215;Licence;15.0;30.0;6=;12,0;;;;;
ETU-016;;;;;;Formation Pro;14.0;Management;87.3;76.5
ETU-017;;;;;;Licence;21.0;Technique;77.4;61.9
ETU-018;;;;;;Formation Pro;17.0;Technique;67.5;54.3
ETU-019;;;;;;Licence;7.0;Arts;65.1;59.3
ETU-020;;;;;;Doctorat;14.0;Management;92.0;84.2
ETU-021;;;;;;Doctorat;18.0;Management;64.1;53.0
ETU-022;;;;;;Licence;17.0;Langues;79.4;69.8
ETU-023;;;;;;Licence;20.0;Technique;77.7;68.7
ETU-024;;;;;;Doctorat;14.0;Arts;89.0;88.7
ETU-025;;;;;;Master;19.0;Sciences;91.5;78.1
ETU-026;;;;;;Doctorat;24.0;Management;65.1;57.6
ETU-027;;;;;;Master;11.0;Arts;54.0;56.7
ETU-028;;;;;;Licence;24.0;Langues;60.2;50.8
ETU-029;;;;;;Doctorat;6.0;Arts;64.9;53.5
ETU-030;;;;;;Formation Pro;7.0;Arts;62.6;55.4
ETU-031;;;;;;Doctorat;5.0;Langues;56.3;40.9
ETU-032;;;;;;Master;19.0;Arts;76.9;66.6
ETU-033;;;;;;Licence;10.0;Langues;58.0;48.8
ETU-034;;;;;;Master;7.0;Arts;70.0;63.7
