ID_Animal;Race;Age_Annees;Poids_Kg;Ration_Fourrage_Kg;Traitement_Antibio;Litres_Lait_Jour;Taux_Butyrique;Animal_ID;Alimentation_Kg_Jour
BOV-001;Holstein;3,5;580;22,5;Non;32,5;38,2;;
BOV-002;Holstein;4,0;610;24,0;Non;34,0;37,8;;
BOV-003;Holstein;2,0;520;19,0;Non;26,0;39,1;;
BOV-004;Jersey;3,0;430;16,5;Non;21,0;48,5;;
BOV-005;Jersey;5,0;460;17,5;Non;22,5;49,2;;
BOV-006;Jersey;2,5;410;15,0;Oui;16,0;46,0;;
BOV-007;Holstein;6,0;640;25,0;Oui;28,0;36,5;;
BOV-008;Holstein;5,5;630;24,5;Non;35,5;37,2;;
BOV-009;Jersey;4,5;450;17,0;Non;23,0;48,9;;
BOV-010;Holstein;1,8;490;18,0;Non;24,0;39,5;;
BOV-011;Holstein;7,0;650;23,0;Non;30,0;37,0;;
BOV-012;Jersey;6,0;470;18,0;Non;22,0;50,1;;
BOV-013;Holstein;3,0;570;21,5;Oui;25,0;38,0;;
BOV-014;Jersey;3,8;440;16,8;Non;21,5;47,8;;
BOV-015;Holstein;4,2;600;23,5;Non;33,5;37,9;;
;Normande;8;581;;;17.1;;ANI-016;17.2
;Normande;9;647;;;18.3;;ANI-017;18.0
;Montbéliarde;7;428;;;15.3;;ANI-018;11.9
;Normande;9;425;;;11.2;;ANI-019;11.6
;Holstein;3;447;;;19.6;;ANI-020;12.5
;Montbéliarde;8;701;;;19.3;;ANI-021;22.8
;Jersey;9;401;;;10.0;;ANI-022;11.5
;Normande;9;738;;;14.3;;ANI-023;22.1
;Normande;2;737;;;15.9;;ANI-024;25.7
;Normande;8;751;;;14.4;;ANI-025;25.1
;Montbéliarde;7;540;;;23.4;;ANI-026;14.9
;Montbéliarde;3;672;;;25.6;;ANI-027;22.9
;Holstein;8;581;;;25.4;;ANI-028;15.4
;Jersey;6;706;;;15.2;;ANI-029;19.2
;Montbéliarde;7;421;;;15.8;;ANI-030;13.0
;Jersey;5;667;;;21.0;;ANI-031;21.9
;Holstein;4;402;;;17.8;;ANI-032;13.8
;Jersey;3;498;;;15.9;;ANI-033;11.9
;Montbéliarde;6;603;;;28.3;;ANI-034;18.3
;Jersey;3;422;;;14.6;;ANI-035;11.8
;Jersey;3;578;;;19.3;;ANI-036;17.0
;Holstein;9;664;;;20.3;;ANI-037;17.5
;Jersey;6;610;;;19.6;;ANI-038;17.5
;Montbéliarde;8;508;;;17.5;;ANI-039;15.2
;Normande;2;632;;;17.7;;ANI-040;22.2
;Jersey;5;690;;;17.7;;ANI-041;18.3
;Jersey;3;486;;;18.8;;ANI-042;13.0
;Normande;5;499;;;16.8;;ANI-043;15.9
;Normande;8;631;;;19.6;;ANI-044;24.3
;Holstein;2;733;;;22.8;;ANI-045;24.1
