Batiment_ID;Usage_Batiment;Surface_Chauffee_M2;Temperature_Exterieure_C;Isolation_DPE;Consommation_KWh;Facture_Electricite_Euros;Type_Batiment;Surface_M2;Age_Annees;Isolation_Note
BAT-01;Bureaux;450.0;-2,5;C;8500;2125,00;;;;
BAT-02;Bureaux;450.0;3,0;C;6800;1700,00;;;;
BAT-03;Bureaux;450.0;10,5;C;4200;1050,00;;;;
BAT-04;Bureaux;450.0;18,0;C;1800;450,00;;;;
BAT-05;Bureaux;450.0;25,0;C;2400;600,00;;;;
BAT-06;Logement;120.0;-3,0;F;3800;950,00;;;;
BAT-07;Logement;120.0;2,5;F;3100;775,00;;;;
BAT-08;Logement;120.0;11,0;F;1900;475,00;;;;
BAT-09;Logement;120.0;19,5;F;800;200,00;;;;
BAT-10;Logement;120.0;26,5;F;1100;275,00;;;;
BAT-11;Ecole;800.0;-1,0;B;7200;1800,00;;;;
BAT-12;Ecole;800.0;4,5;B;5500;1375,00;;;;
BAT-13;Ecole;800.0;12,0;B;3100;775,00;;;;
BAT-14;Ecole;800.0;17,5;B;1500;375,00;;;;
BAT-15;Ecole;800.0;24,0;B;2100;525,00;;;;
BAT-016;;;24.4;;58295;;École;1421.0;24.0;6.0
BAT-017;;;23.9;;95111;;Bureau;3567.0;7.0;7.0
BAT-018;;;23.2;;140372;;Bureau;4908.0;25.0;8.0
BAT-019;;;22.5;;33354;;Bureau;910.0;44.0;6.0
BAT-020;;;21.6;;168782;;Commerce;3563.0;43.0;7.0
BAT-021;;;20.7;;25797;;Commerce;1040.0;6.0;5.0
BAT-022;;;19.6;;62759;;Bureau;2417.0;32.0;9.0
BAT-023;;;18.5;;34222;;Hôpital;2191.0;7.0;8.0
BAT-024;;;17.4;;48125;;Commerce;1362.0;28.0;1.0
BAT-025;;;16.2;;84199;;Bureau;2389.0;25.0;3.0
BAT-026;;;15.0;;122292;;Bureau;3066.0;18.0;3.0
BAT-027;;;13.8;;42997;;Résidentiel;1883.0;11.0;8.0
BAT-028;;;12.6;;52388;;Bureau;1218.0;9.0;1.0
BAT-029;;;11.5;;175444;;École;3921.0;19.0;3.0
BAT-030;;;10.4;;124974;;École;4280.0;30.0;9.0
BAT-031;;;9.3;;52813;;Hôpital;692.0;47.0;1.0
BAT-032;;;8.4;;93973;;École;1521.0;39.0;3.0
BAT-033;;;7.5;;72942;;Résidentiel;2169.0;23.0;7.0
BAT-034;;;6.8;;100725;;Résidentiel;1821.0;41.0;6.0
BAT-035;;;6.1;;182921;;Bureau;3682.0;18.0;1.0
