Mois;Type_Flux;Creances_Clients_Euros;Dettes_Fournisseurs_Euros;Delai_Paiement_Jours;Solde_Tresorerie_Euros;Taux_Interet_Pct;Transaction_ID;Categorie;Montant_Euros;Date_Trx;Solde_Apres_Trx_Euros
2025-01;Exploitation;125000.0;85000.0;45.0;40000.0;3,5;;;;;
2025-02;Exploitation;140000.0;90000.0;50.0;50000.0;3,5;;;;;
2025-03;Exploitation;110000.0;95000.0;60.0;15000.0;3,7;;;;;
2025-04;Investissement;95000.0;120000.0;65.0;-25000.0;4,0;;;;;
2025-05;Exploitation;130000.0;80000.0;40.0;50000.0;4,0;;;;;
2025-06;Exploitation;160000.0;85000.0;35.0;75000.0;3,8;;;;;
2025-07;Exploitation;175000.0;90000.0;38.0;85000.0;3,8;;;;;
2025-08;Exploitation;80000.0;70000.0;55.0;10000.0;3,9;;;;;
2025-09;Exploitation;150000.0;95000.0;42.0;55000.0;3,9;;;;;
2025-10;Exploitation;155000.0;100000.0;48.0;55000.0;4,1;;;;;
2025-11;Investissement;120000.0;140000.0;70.0;-20000.0;4,2;;;;;
2025-12;Exploitation;190000.0;110000.0;30.0;80000.0;4,2;;;;;
;Sortie;;;;;;TRX-013;Loyer;19546.0;2025-01-14;0.0
;Entrée;;;;;;TRX-014;Emprunts;9890.0;2025-01-15;344.0
;Sortie;;;;;;TRX-015;Équipement;6639.0;2025-01-16;0.0
;Entrée;;;;;;TRX-016;Emprunts;15126.0;2025-01-17;8831.0
;Entrée;;;;;;TRX-017;Emprunts;33756.0;2025-01-18;42587.0
;Sortie;;;;;;TRX-018;Marketing;22410.0;2025-01-19;20177.0
;Sortie;;;;;;TRX-019;Équipement;28542.0;2025-01-20;0.0
;Sortie;;;;;;TRX-020;Salaires;3045.0;2025-01-21;0.0
;Sortie;;;;;;TRX-021;Marketing;23496.0;2025-01-22;0.0
;Sortie;;;;;;TRX-022;Fournisseurs;7413.0;2025-01-23;0.0
;Entrée;;;;;;TRX-023;Ventes;32106.0;2025-01-24;0.0
;Sortie;;;;;;TRX-024;Fournisseurs;12571.0;2025-01-25;0.0
;Sortie;;;;;;TRX-025;Marketing;18037.0;2025-01-26;0.0
;Entrée;;;;;;TRX-026;Subventions;25284.0;2025-01-27;0.0
;Sortie;;;;;;TRX-027;Salaires;27763.0;2025-01-28;0.0
;Entrée;;;;;;TRX-028;Ventes;47102.0;2025-01-29;3802.0
;Sortie;;;;;;TRX-029;Salaires;16187.0;2025-01-30;0.0
;Entrée;;;;;;TRX-030;Subventions;28696.0;2025-01-31;16311.0
;Entrée;;;;;;TRX-031;Subventions;38921.0;2025-02-01;55232.0
;Entrée;;;;;;TRX-032;Ventes;27506.0;2025-02-02;82738.0
;Sortie;;;;;;TRX-033;Fournisseurs;15010.0;2025-02-03;67728.0
;Entrée;;;;;;TRX-034;Emprunts;35425.0;2025-02-04;103153.0
;Entrée;;;;;;TRX-035;Emprunts;19535.0;2025-02-05;122688.0
;Entrée;;;;;;TRX-036;Ventes;18731.0;2025-02-06;141419.0
;Sortie;;;;;;TRX-037;Salaires;3496.0;2025-02-07;137923.0
;Entrée;;;;;;TRX-038;Investissements;2156.0;2025-02-08;140079.0
;Sortie;;;;;;TRX-039;Loyer;9752.0;2025-02-09;130327.0
;Entrée;;;;;;TRX-040;Emprunts;42168.0;2025-02-10;172495.0
;Sortie;;;;;;TRX-041;Équipement;17971.0;2025-02-11;154524.0
;Sortie;;;;;;TRX-042;Fournisseurs;14091.0;2025-02-12;140433.0
;Sortie;;;;;;TRX-043;Fournisseurs;3467.0;2025-02-13;136966.0
;Entrée;;;;;;TRX-044;Subventions;19496.0;2025-02-14;156462.0
;Sortie;;;;;;TRX-045;Marketing;11910.0;2025-02-15;144552.0
;Sortie;;;;;;TRX-046;Loyer;12928.0;2025-02-16;131624.0
;Entrée;;;;;;TRX-047;Emprunts;40458.0;2025-02-17;172082.0
;Entrée;;;;;;TRX-048;Ventes;7782.0;2025-02-18;179864.0
;Sortie;;;;;;TRX-049;Marketing;9347.0;2025-02-19;170517.0
;Entrée;;;;;;TRX-050;Ventes;30897.0;2025-02-20;201414.0
;Sortie;;;;;;TRX-051;Salaires;22385.0;2025-02-21;179029.0
;Sortie;;;;;;TRX-052;Équipement;1049.0;2025-02-22;177980.0
;Entrée;;;;;;TRX-053;Investissements;31764.0;2025-02-23;209744.0
;Sortie;;;;;;TRX-054;Fournisseurs;21135.0;2025-02-24;188609.0
;Sortie;;;;;;TRX-055;Équipement;23322.0;2025-02-25;165287.0
;Sortie;;;;;;TRX-056;Salaires;3268.0;2025-02-26;162019.0
;Entrée;;;;;;TRX-057;Emprunts;15991.0;2025-02-27;178010.0
;Entrée;;;;;;TRX-058;Subventions;44936.0;2025-02-28;222946.0
;Entrée;;;;;;TRX-059;Subventions;30845.0;2025-03-01;253791.0
;Sortie;;;;;;TRX-060;Salaires;23688.0;2025-03-02;230103.0
;Sortie;;;;;;TRX-061;Marketing;29027.0;2025-03-03;201076.0
;Entrée;;;;;;TRX-062;Ventes;40925.0;2025-03-04;242001.0
;Sortie;;;;;;TRX-063;Marketing;19737.0;2025-03-05;222264.0
;Entrée;;;;;;TRX-064;Ventes;28734.0;2025-03-06;250998.0
;Entrée;;;;;;TRX-065;Subventions;4912.0;2025-03-07;255910.0
;Sortie;;;;;;TRX-066;Fournisseurs;12775.0;2025-03-08;243135.0
;Sortie;;;;;;TRX-067;Marketing;16915.0;2025-03-09;226220.0
;Sortie;;;;;;TRX-068;Équipement;14185.0;2025-03-10;212035.0
;Entrée;;;;;;TRX-069;Emprunts;47360.0;2025-03-11;259395.0
;Sortie;;;;;;TRX-070;Marketing;27223.0;2025-03-12;232172.0
;Entrée;;;;;;TRX-071;Ventes;4843.0;2025-03-13;237015.0
;Entrée;;;;;;TRX-072;Subventions;555.0;2025-03-14;237570.0
;Entrée;;;;;;TRX-073;Investissements;25037.0;2025-03-15;262607.0
;Entrée;;;;;;TRX-074;Ventes;28532.0;2025-03-16;291139.0
;Sortie;;;;;;TRX-075;Salaires;2588.0;2025-03-17;288551.0
;Sortie;;;;;;TRX-076;Salaires;23682.0;2025-03-18;264869.0
;Sortie;;;;;;TRX-077;Fournisseurs;1095.0;2025-03-19;263774.0
;Sortie;;;;;;TRX-078;Marketing;10527.0;2025-03-20;253247.0
;Entrée;;;;;;TRX-079;Ventes;38648.0;2025-03-21;291895.0
;Entrée;;;;;;TRX-080;Investissements;17308.0;2025-03-22;309203.0
;Entrée;;;;;;TRX-081;Subventions;10814.0;2025-03-23;320017.0
;Entrée;;;;;;TRX-082;Ventes;35775.0;2025-03-24;355792.0
;Sortie;;;;;;TRX-083;Loyer;15889.0;2025-03-25;339903.0
;Entrée;;;;;;TRX-084;Emprunts;16394.0;2025-03-26;356297.0
;Sortie;;;;;;TRX-085;Marketing;7765.0;2025-03-27;348532.0
;Entrée;;;;;;TRX-086;Investissements;8799.0;2025-03-28;357331.0
;Sortie;;;;;;TRX-087;Équipement;13993.0;2025-03-29;343338.0
;Sortie;;;;;;TRX-088;Fournisseurs;22525.0;2025-03-30;320813.0
;Entrée;;;;;;TRX-089;Emprunts;23420.0;2025-03-31;344233.0
;Entrée;;;;;;TRX-090;Emprunts;30916.0;2025-04-01;375149.0
;Sortie;;;;;;TRX-091;Salaires;12144.0;2025-04-02;363005.0
;Sortie;;;;;;TRX-092;Marketing;11835.0;2025-04-03;351170.0
;Sortie;;;;;;TRX-093;Fournisseurs;17991.0;2025-04-04;333179.0
;Sortie;;;;;;TRX-094;Fournisseurs;3046.0;2025-04-05;330133.0
;Entrée;;;;;;TRX-095;Investissements;8565.0;2025-04-06;338698.0
