Reservation_ID;Canal_Booking;Prix_Nuit_Euros;Duree_Sejour_Jours;Delai_Reservation_Jours;Taux_Annulation_Pct;Revenu_Total_Euros;Type_Chambre;Saison;Duree_Sejour_Nuits;Taux_Occupation_Pct
RES-501;Direct;120.0;3.0;15.0;2,5;360.0;;;;
RES-502;Booking;140.0;2.0;45.0;12,0;280.0;;;;
RES-503;Direct;110.0;5.0;10.0;1,0;550.0;;;;
RES-504;Expedia;150.0;1.0;60.0;18,0;150.0;;;;
RES-505;Direct;130.0;4.0;7.0;0,5;520.0;;;;
RES-506;Booking;160.0;2.0;90.0;25,0;320.0;;;;
RES-507;Direct;115.0;3.0;12.0;2,0;345.0;;;;
RES-508;Expedia;145.0;2.0;30.0;14,0;290.0;;;;
RES-509;Direct;125.0;6.0;5.0;0,0;750.0;;;;
RES-510;Booking;170.0;1.0;120.0;30,0;170.0;;;;
RES-511;Direct;105.0;4.0;14.0;1,5;420.0;;;;
RES-512;Booking;155.0;3.0;40.0;10,0;465.0;;;;
RES-513;Expedia;135.0;2.0;25.0;8,0;270.0;;;;
RES-514;Direct;118.0;5.0;8.0;0,8;590.0;;;;
RES-515;Booking;165.0;2.0;75.0;22,0;330.0;;;;
RES-016;;113.0;;;;;Supérieure;Automne;4.0;85.5
RES-017;;305.0;;;;;Suite;Printemps;3.0;75.9
RES-018;;55.0;;;;;Standard;Hiver;3.0;69.7
RES-019;;103.0;;;;;Supérieure;Automne;3.0;74.1
RES-020;;118.0;;;;;Supérieure;Automne;2.0;72.6
RES-021;;73.0;;;;;Standard;Automne;3.0;78.8
RES-022;;159.0;;;;;Supérieure;Été;5.0;84.6
RES-023;;82.0;;;;;Standard;Printemps;2.0;73.5
RES-024;;51.0;;;;;Standard;Hiver;1.0;50.1
RES-025;;212.0;;;;;Suite;Hiver;2.0;58.4
RES-026;;117.0;;;;;Supérieure;Printemps;4.0;81.6
RES-027;;152.0;;;;;Deluxe;Automne;4.0;61.2
RES-028;;121.0;;;;;Deluxe;Hiver;3.0;67.7
RES-029;;60.0;;;;;Standard;Hiver;3.0;64.5
RES-030;;437.0;;;;;Suite;Été;5.0;89.2
RES-031;;77.0;;;;;Supérieure;Hiver;2.0;57.2
RES-032;;60.0;;;;;Standard;Hiver;3.0;43.7
RES-033;;68.0;;;;;Standard;Automne;2.0;76.3
RES-034;;89.0;;;;;Supérieure;Hiver;2.0;61.7
RES-035;;80.0;;;;;Standard;Printemps;2.0;83.9
RES-036;;295.0;;;;;Suite;Printemps;2.0;84.0
RES-037;;292.0;;;;;Suite;Printemps;3.0;59.5
RES-038;;117.0;;;;;Supérieure;Printemps;4.0;67.2
RES-039;;288.0;;;;;Suite;Automne;2.0;68.1
RES-040;;180.0;;;;;Supérieure;Été;5.0;91.1
RES-041;;178.0;;;;;Deluxe;Automne;2.0;88.6
RES-042;;247.0;;;;;Suite;Automne;4.0;64.6
RES-043;;172.0;;;;;Supérieure;Été;4.0;100.0
RES-044;;196.0;;;;;Suite;Hiver;3.0;50.1
RES-045;;113.0;;;;;Supérieure;Automne;4.0;66.1
RES-046;;54.0;;;;;Standard;Hiver;3.0;54.9
RES-047;;113.0;;;;;Standard;Été;4.0;78.8
RES-048;;164.0;;;;;Deluxe;Printemps;4.0;74.6
RES-049;;127.0;;;;;Deluxe;Hiver;2.0;55.2
RES-050;;69.0;;;;;Standard;Automne;4.0;66.7
RES-051;;252.0;;;;;Suite;Automne;3.0;87.4
RES-052;;383.0;;;;;Suite;Été;6.0;100.0
RES-053;;76.0;;;;;Standard;Automne;4.0;80.3
RES-054;;109.0;;;;;Supérieure;Printemps;4.0;78.5
RES-055;;228.0;;;;;Suite;Hiver;3.0;36.7
RES-056;;75.0;;;;;Standard;Automne;4.0;78.0
RES-057;;72.0;;;;;Standard;Automne;2.0;68.7
RES-058;;79.0;;;;;Standard;Automne;3.0;63.8
RES-059;;194.0;;;;;Deluxe;Printemps;4.0;86.0
RES-060;;279.0;;;;;Suite;Automne;2.0;63.3
RES-061;;85.0;;;;;Supérieure;Hiver;3.0;80.1
RES-062;;218.0;;;;;Suite;Hiver;3.0;54.2
RES-063;;232.0;;;;;Deluxe;Été;5.0;80.0
RES-064;;250.0;;;;;Suite;Automne;2.0;65.0
RES-065;;103.0;;;;;Supérieure;Automne;4.0;58.7
RES-066;;121.0;;;;;Standard;Été;5.0;92.2
RES-067;;120.0;;;;;Standard;Été;4.0;86.3
RES-068;;205.0;;;;;Suite;Hiver;1.0;49.7
RES-069;;165.0;;;;;Deluxe;Automne;3.0;61.6
RES-070;;76.0;;;;;Standard;Printemps;3.0;77.1
RES-071;;122.0;;;;;Supérieure;Printemps;2.0;63.8
RES-072;;152.0;;;;;Supérieure;Été;6.0;100.0
RES-073;;429.0;;;;;Suite;Été;6.0;84.2
RES-074;;90.0;;;;;Supérieure;Hiver;2.0;72.1
RES-075;;154.0;;;;;Deluxe;Automne;4.0;66.1
RES-076;;84.0;;;;;Supérieure;Hiver;3.0;70.0
RES-077;;114.0;;;;;Supérieure;Automne;3.0;59.3
RES-078;;171.0;;;;;Supérieure;Été;5.0;97.3
RES-079;;234.0;;;;;Deluxe;Été;6.0;74.9
RES-080;;76.0;;;;;Supérieure;Hiver;2.0;67.5
RES-081;;51.0;;;;;Standard;Hiver;2.0;65.0
