Machine_ID;Type_Machine;Vibrations_Hz;Temperature_C;Pression_Bar;Heures_Fonctionnement;Anomalies_Comptees;Type_Equipement;Age_Heures;Derniere_Maintenance_Jours;Temperature_Operation_C;Vibration_Niveau;Probabilite_Panne_Pct
MAC-01;Presse;12,4;65,0;4,2;1200.0;0.0;;;;;;
MAC-02;Presse;14,1;72,5;4,5;2500.0;1.0;;;;;;
MAC-03;Robot;8,2;45,0;2,1;800.0;0.0;;;;;;
MAC-04;Robot;9,0;48,0;2,3;1500.0;0.0;;;;;;
MAC-05;Presse;28,5;95,0;6,8;4800.0;5.0;;;;;;
MAC-06;Fraiseuse;15,0;58,0;3,1;3100.0;1.0;;;;;;
MAC-07;Robot;8,5;46,5;2,2;1100.0;0.0;;;;;;
MAC-08;Presse;32,1;102,0;7,2;5200.0;7.0;;;;;;
MAC-09;Fraiseuse;16,8;62,0;3,4;3600.0;2.0;;;;;;
MAC-10;Presse;11,8;63,5;4,1;950.0;0.0;;;;;;
MAC-11;Robot;7,9;44,0;2,0;600.0;0.0;;;;;;
MAC-12;Fraiseuse;22,4;81,0;5,0;4200.0;4.0;;;;;;
MAC-13;Presse;13,0;67,0;4,3;1800.0;0.0;;;;;;
MAC-14;Robot;9,2;49,0;2,4;1900.0;0.0;;;;;;
MAC-15;Fraiseuse;18,1;69,0;3,8;3900.0;2.0;;;;;;
MAC-016;;;;;;;Compresseur;9913.0;177.0;58.3;5.3;62.7
MAC-017;;;;;;;Presse;9638.0;83.0;74.6;3.2;19.2
MAC-018;;;;;;;Convoyeur;1718.0;160.0;71.6;2.2;12.9
MAC-019;;;;;;;Convoyeur;7734.0;50.0;49.4;3.5;13.1
MAC-020;;;;;;;Compresseur;11781.0;91.0;81.0;4.3;33.4
MAC-021;;;;;;;Compresseur;19048.0;141.0;65.9;6.3;95.0
MAC-022;;;;;;;Convoyeur;206.0;152.0;34.5;1.9;10.5
MAC-023;;;;;;;Compresseur;19338.0;75.0;60.6;4.4;58.8
MAC-024;;;;;;;Convoyeur;11080.0;11.0;64.6;4.9;18.1
MAC-025;;;;;;;Convoyeur;2521.0;64.0;62.8;3.4;9.5
MAC-026;;;;;;;Presse;16161.0;154.0;84.8;7.9;95.0
MAC-027;;;;;;;Pompe;15372.0;140.0;45.6;4.1;65.3
MAC-028;;;;;;;Presse;18279.0;34.0;45.7;7.0;59.2
MAC-029;;;;;;;Compresseur;14657.0;150.0;52.7;5.4;84.7
MAC-030;;;;;;;Presse;18998.0;148.0;32.8;5.3;95.0
MAC-031;;;;;;;Convoyeur;9712.0;68.0;85.2;4.0;20.8
MAC-032;;;;;;;Pompe;12848.0;37.0;73.7;4.7;25.1
MAC-033;;;;;;;Presse;2579.0;45.0;69.8;3.4;8.0
MAC-034;;;;;;;Presse;14080.0;32.0;88.6;2.4;14.8
MAC-035;;;;;;;Pompe;4701.0;49.0;68.9;3.4;9.7
MAC-036;;;;;;;Convoyeur;3591.0;5.0;89.0;4.1;7.5
MAC-037;;;;;;;Pompe;12320.0;120.0;85.9;5.3;53.8
MAC-038;;;;;;;Compresseur;19784.0;127.0;76.5;6.2;95.0
MAC-039;;;;;;;Moteur;15096.0;146.0;83.0;5.9;94.3
