ID_Commande;Mode_Livraison;Distance_Km;Poids_Colis_Kg;Frais_Port_Euros;Temps_Livraison_Heures;Reclamations_Client;Commande_ID;Zone_Livraison;Délai_Jours
CMD-101;Express;450;1,5;15,00;18.0;0.0;;;
CMD-102;Standard;120;0,8;5,90;48.0;0.0;;;
CMD-103;Standard;850;4,5;8,90;72.0;1.0;;;
CMD-104;Express;300;2,0;15,00;24.0;0.0;;;
CMD-105;Relais;50;1,2;4,50;48.0;0.0;;;
CMD-106;Standard;600;12,0;14,90;96.0;1.0;;;
CMD-107;Express;950;0,5;15,00;20.0;0.0;;;
CMD-108;Relais;210;3,0;4,50;60.0;0.0;;;
CMD-109;Standard;40;8,5;12,90;36.0;0.0;;;
CMD-110;Express;150;15,0;25,00;16.0;0.0;;;
CMD-111;Relais;380;0,9;4,50;52.0;0.0;;;
CMD-112;Standard;720;2,5;7,90;70.0;0.0;;;
CMD-113;Express;500;6,0;18,00;22.0;0.0;;;
CMD-114;Relais;180;1,8;4,50;44.0;0.0;;;
CMD-115;Standard;90;18,0;18,90;40.0;0.0;;;
;;185;25.07;36.7;;;CMD-016;Zone D;4.0
;;166;15.29;16.32;;;CMD-017;Zone A;1.0
;;190;13.88;23.8;;;CMD-018;Zone C;3.0
;;5;12.67;16.1;;;CMD-019;Zone B;2.0
;;35;14.68;13.7;;;CMD-020;Zone A;1.0
;;97;17.97;14.94;;;CMD-021;Zone A;1.0
;;204;18.76;20.08;;;CMD-022;Zone B;3.0
;;481;24.1;42.62;;;CMD-023;Zone D;7.0
;;148;28.54;35.96;;;CMD-024;Zone D;4.0
;;10;3.06;14.2;;;CMD-025;Zone C;3.0
;;315;3.14;13.3;;;CMD-026;Zone A;3.0
;;496;14.24;29.92;;;CMD-027;Zone C;6.0
;;9;25.48;27.18;;;CMD-028;Zone C;3.0
;;157;0.31;15.14;;;CMD-029;Zone C;3.0
;;185;3.47;23.7;;;CMD-030;Zone D;4.0
;;346;20.48;29.92;;;CMD-031;Zone B;4.0
;;50;11.15;21.0;;;CMD-032;Zone C;3.0
;;324;7.29;22.48;;;CMD-033;Zone C;5.0
;;254;24.57;32.08;;;CMD-034;Zone C;4.0
;;412;23.83;41.24;;;CMD-035;Zone D;7.0
;;344;21.03;29.88;;;CMD-036;Zone B;4.0
;;210;29.09;31.2;;;CMD-037;Zone C;4.0
;;213;24.17;37.26;;;CMD-038;Zone D;5.0
;;200;3.25;14.0;;;CMD-039;Zone B;3.0
;;70;3.06;15.4;;;CMD-040;Zone C;3.0
;;488;8.23;18.76;;;CMD-041;Zone A;4.0
;;169;7.46;19.38;;;CMD-042;Zone C;3.0
;;423;23.65;28.46;;;CMD-043;Zone A;4.0
;;208;1.8;22.16;;;CMD-044;Zone D;5.0
;;187;14.85;19.74;;;CMD-045;Zone B;2.0
;;31;7.19;12.62;;;CMD-046;Zone B;2.0
;;354;3.07;27.08;;;CMD-047;Zone D;6.0
;;434;8.63;17.68;;;CMD-048;Zone A;4.0
;;145;24.49;35.9;;;CMD-049;Zone D;4.0
;;34;13.81;16.68;;;CMD-050;Zone B;2.0
;;486;12.94;29.72;;;CMD-051;Zone C;6.0
;;469;28.94;36.38;;;CMD-052;Zone C;6.0
;;449;13.77;34.98;;;CMD-053;Zone D;7.0
;;401;0.34;16.02;;;CMD-054;Zone B;5.0
;;8;7.41;9.16;;;CMD-055;Zone A;1.0
;;326;26.29;29.52;;;CMD-056;Zone B;4.0
;;11;15.46;13.22;;;CMD-057;Zone A;1.0
;;203;9.23;16.06;;;CMD-058;Zone B;3.0
;;410;21.11;31.2;;;CMD-059;Zone B;5.0
;;103;11.41;15.06;;;CMD-060;Zone A;1.0
;;15;2.2;12.3;;;CMD-061;Zone C;3.0
;;60;17.78;14.2;;;CMD-062;Zone A;1.0
;;494;17.37;29.88;;;CMD-063;Zone C;6.0
;;226;5.57;16.52;;;CMD-064;Zone B;3.0
;;18;17.25;20.36;;;CMD-065;Zone C;3.0
;;16;20.71;23.32;;;CMD-066;Zone B;2.0
;;158;9.61;12.16;;;CMD-067;Zone A;1.0
;;388;19.04;33.76;;;CMD-068;Zone D;6.0
;;317;28.79;33.34;;;CMD-069;Zone C;5.0
;;233;24.18;27.66;;;CMD-070;Zone B;3.0
;;463;20.4;42.26;;;CMD-071;Zone D;7.0
;;472;7.33;25.44;;;CMD-072;Zone C;6.0
;;159;29.31;23.18;;;CMD-073;Zone A;1.0
;;477;15.94;22.54;;;CMD-074;Zone A;4.0
;;31;3.98;10.62;;;CMD-075;Zone B;2.0
;;179;4.15;23.58;;;CMD-076;Zone D;4.0
;;262;18.15;25.24;;;CMD-077;Zone C;4.0
;;94;18.1;21.88;;;CMD-078;Zone C;3.0
;;40;13.87;16.8;;;CMD-079;Zone B;2.0
;;486;16.37;22.72;;;CMD-080;Zone A;4.0
;;389;1.33;12.78;;;CMD-081;Zone A;3.0
;;215;22.64;37.3;;;CMD-082;Zone D;5.0
;;214;22.02;31.28;;;CMD-083;Zone C;4.0
;;263;0.61;13.26;;;CMD-084;Zone B;3.0
;;80;25.69;24.6;;;CMD-085;Zone B;2.0
;;138;2.54;10.76;;;CMD-086;Zone B;2.0
;;404;3.48;28.08;;;CMD-087;Zone D;7.0
;;352;4.56;17.04;;;CMD-088;Zone B;4.0
;;135;12.31;28.7;;;CMD-089;Zone D;4.0
;;220;0.27;9.4;;;CMD-090;Zone A;2.0
;;9;26.02;33.18;;;CMD-091;Zone D;4.0
;;30;1.02;18.6;;;CMD-092;Zone D;4.0
;;347;10.43;22.94;;;CMD-093;Zone B;4.0
;;241;28.17;27.82;;;CMD-094;Zone B;3.0
;;383;0.37;12.66;;;CMD-095;Zone A;3.0
;;57;28.72;21.14;;;CMD-096;Zone A;1.0
;;328;15.25;19.56;;;CMD-097;Zone A;3.0
;;433;25.58;41.66;;;CMD-098;Zone D;7.0
;;294;28.67;32.88;;;CMD-099;Zone C;4.0
;;499;23.04;29.98;;;CMD-100;Zone A;4.0
;;127;10.84;15.54;;;CMD-101;Zone A;1.0
;;322;10.41;19.44;;;CMD-102;Zone A;3.0
;;411;10.76;24.22;;;CMD-103;Zone B;5.0
;;33;8.05;12.66;;;CMD-104;Zone B;2.0
;;408;6.56;17.16;;;CMD-105;Zone A;4.0
;;91;14.72;14.82;;;CMD-106;Zone A;1.0
;;70;20.43;24.4;;;CMD-107;Zone B;2.0
;;361;5.87;19.22;;;CMD-108;Zone B;4.0
;;403;16.49;34.06;;;CMD-109;Zone D;7.0
;;236;23.68;31.72;;;CMD-110;Zone C;4.0
;;250;12.64;18.0;;;CMD-111;Zone A;2.0
;;468;0.92;27.36;;;CMD-112;Zone D;7.0
;;429;14.37;21.58;;;CMD-113;Zone A;4.0
;;449;16.62;21.98;;;CMD-114;Zone A;4.0
;;311;0.89;14.22;;;CMD-115;Zone B;4.0
;;134;27.07;22.68;;;CMD-116;Zone A;1.0
;;31;27.21;27.62;;;CMD-117;Zone C;3.0
;;343;7.67;18.86;;;CMD-118;Zone B;4.0
;;359;16.47;33.18;;;CMD-119;Zone D;6.0
;;493;13.23;35.86;;;CMD-120;Zone D;7.0
;;399;19.07;27.98;;;CMD-121;Zone C;5.0
;;128;14.04;22.56;;;CMD-122;Zone C;3.0
;;253;21.85;32.06;;;CMD-123;Zone C;4.0
;;351;22.22;27.02;;;CMD-124;Zone A;3.0
;;117;23.17;35.34;;;CMD-125;Zone D;4.0
;;425;5.3;17.5;;;CMD-126;Zone A;4.0
;;491;5.98;25.82;;;CMD-127;Zone C;6.0
;;368;10.71;20.36;;;CMD-128;Zone A;3.0
;;402;5.95;17.04;;;CMD-129;Zone A;4.0
;;497;22.02;29.94;;;CMD-130;Zone A;4.0
;;244;9.52;20.88;;;CMD-131;Zone C;4.0
;;127;14.75;18.54;;;CMD-132;Zone B;2.0
;;158;3.2;17.16;;;CMD-133;Zone C;3.0
;;480;2.8;21.6;;;CMD-134;Zone C;6.0
;;399;14.21;27.98;;;CMD-135;Zone C;5.0
;;14;12.49;16.28;;;CMD-136;Zone B;2.0
;;262;15.9;21.24;;;CMD-137;Zone B;3.0
;;271;4.48;19.42;;;CMD-138;Zone C;4.0
;;446;12.44;24.92;;;CMD-139;Zone B;5.0
;;45;25.52;33.9;;;CMD-140;Zone D;4.0
;;114;2.25;7.28;;;CMD-141;Zone A;1.0
;;240;25.47;24.8;;;CMD-142;Zone A;2.0
;;268;23.19;38.36;;;CMD-143;Zone D;5.0
;;385;9.42;29.7;;;CMD-144;Zone D;6.0
;;492;18.22;29.84;;;CMD-145;Zone C;6.0
;;211;21.74;37.22;;;CMD-146;Zone D;5.0
;;80;2.51;13.6;;;CMD-147;Zone C;3.0
;;436;26.66;31.72;;;CMD-148;Zone B;5.0
;;249;2.47;16.98;;;CMD-149;Zone C;4.0
