Campagne_ID;Canal_Ad;Impressions;Cliquer_CTR_Pct;Cout_Par_Clic_CPC;Conversions;Cout_Acquisition_CAC;Budget_Journalier_Euros;Clics;CPA_Euros
CMP-01;Google;50000;2,5;1,20;45;33,33;;;
CMP-02;Google;80000;2,8;1,35;78;34,61;;;
CMP-03;Facebook;120000;1,1;0,65;32;26,81;;;
CMP-04;Facebook;150000;0,9;0,60;28;32,14;;;
CMP-05;LinkedIn;25000;3,5;4,50;18;243,75;;;
CMP-06;LinkedIn;30000;3,8;4,80;22;235,63;;;
CMP-07;Google;65000;2,6;1,25;60;33,85;;;
CMP-08;Facebook;90000;1,2;0,70;25;30,24;;;
CMP-09;LinkedIn;18000;3,2;4,20;12;245,70;;;
CMP-10;Google;110000;3,0;1,40;105;36,66;;;
CMP-11;Facebook;200000;0,8;0,55;35;31,42;;;
CMP-12;LinkedIn;35000;4,0;5,00;28;250,00;;;
CMP-13;Google;75000;2,7;1,30;70;34,82;;;
CMP-14;Facebook;110000;1,0;0,68;26;31,69;;;
CMP-15;LinkedIn;22000;3,4;4,40;15;244,93;;;
CMP-016;Email;16982;;;101;;380.0;925.0;3.76
CMP-017;Email;8410;;;35;;162.0;493.0;4.63
CMP-018;Google Ads;19579;;;29;;401.0;669.0;13.83
CMP-019;Email;6818;;;37;;152.0;384.0;4.11
CMP-020;SEO;8341;;;15;;165.0;200.0;11.0
CMP-021;Facebook Ads;2755;;;1;;50.0;63.0;50.0
CMP-022;LinkedIn Ads;14756;;;9;;301.0;165.0;33.44
CMP-023;Google Ads;2837;;;3;;68.0;109.0;22.67
CMP-024;Facebook Ads;10770;;;6;;269.0;338.0;44.83
CMP-025;SEO;10211;;;11;;179.0;194.0;16.27
CMP-026;Google Ads;5621;;;4;;102.0;121.0;25.5
CMP-027;Email;14248;;;42;;304.0;514.0;7.24
CMP-028;LinkedIn Ads;3634;;;2;;71.0;53.0;35.5
CMP-029;Google Ads;11331;;;9;;193.0;312.0;21.44
CMP-030;Google Ads;15089;;;12;;303.0;401.0;25.25
CMP-031;LinkedIn Ads;14544;;;9;;310.0;206.0;34.44
CMP-032;Facebook Ads;10382;;;9;;174.0;312.0;19.33
CMP-033;LinkedIn Ads;3400;;;2;;68.0;41.0;34.0
CMP-034;LinkedIn Ads;22290;;;22;;454.0;356.0;20.64
