Compte_ID;Plan_Souscrit;Utilisateurs_Actifs_Mensuels;Tickets_Support;MRR_Mensuel_Euros;Desabonnement_Churn
ACC-001;Starter;5;1;49;0
ACC-002;Starter;3;0;49;0
ACC-003;Pro;25;2;199;0
ACC-004;Pro;18;8;199;1
ACC-005;Enterprise;120;3;999;0
ACC-006;Starter;2;5;49;1
ACC-007;Pro;30;1;199;0
ACC-008;Enterprise;250;4;999;0
ACC-009;Starter;8;2;49;0
ACC-010;Pro;12;12;199;1
ACC-011;Enterprise;180;2;999;0
ACC-012;Starter;1;6;49;1
ACC-013;Pro;40;3;199;0
ACC-014;Enterprise;300;5;999;0
ACC-015;Starter;6;1;49;0
ACC-016;Pro;17;6;199;0
ACC-017;Starter;1;0;49;0
ACC-018;Pro;28;0;199;0
ACC-019;Starter;7;1;49;0
ACC-020;Starter;1;0;49;1
ACC-021;Starter;9;1;49;1
ACC-022;Starter;8;0;49;0
ACC-023;Starter;7;0;49;0
ACC-024;Starter;7;0;49;0
ACC-025;Enterprise;458;15;999;0
ACC-026;Starter;9;0;49;0
ACC-027;Starter;7;1;49;0
ACC-028;Starter;8;1;49;0
ACC-029;Pro;33;0;199;0
ACC-030;Starter;2;0;49;0
ACC-031;Pro;12;0;199;0
ACC-032;Starter;4;0;49;0
ACC-033;Pro;32;2;199;0
ACC-034;Starter;2;0;49;0
ACC-035;Starter;5;0;49;0
ACC-036;Starter;6;0;49;0
ACC-037;Pro;47;7;199;0
ACC-038;Starter;6;0;49;1
ACC-039;Starter;9;1;49;0
ACC-040;Pro;46;1;199;0
ACC-041;Starter;2;0;49;0
ACC-042;Starter;5;1;49;1
ACC-043;Starter;1;0;49;0
ACC-044;Pro;25;1;199;0
ACC-045;Enterprise;294;21;999;0
ACC-046;Pro;31;2;199;0
ACC-047;Starter;4;0;49;0
ACC-048;Starter;1;0;49;0
ACC-049;Enterprise;228;7;999;0
ACC-050;Starter;9;0;49;1
ACC-051;Pro;21;0;199;0
ACC-052;Enterprise;226;51;999;0
ACC-053;Pro;24;4;199;0
ACC-054;Starter;7;0;49;0
ACC-055;Pro;16;4;199;0
ACC-056;Pro;28;1;199;0
ACC-057;Pro;30;2;199;0
ACC-058;Starter;5;1;49;0
ACC-059;Starter;7;0;49;0
ACC-060;Starter;2;0;49;0
ACC-061;Starter;1;0;49;0
ACC-062;Pro;32;2;199;1
ACC-063;Starter;1;0;49;0
ACC-064;Starter;7;0;49;0
ACC-065;Starter;1;0;49;1
ACC-066;Starter;2;0;49;0
ACC-067;Pro;35;3;199;0
ACC-068;Enterprise;108;26;999;1
ACC-069;Pro;16;0;199;0
ACC-070;Starter;3;0;49;0
ACC-071;Starter;2;0;49;0
ACC-072;Starter;2;0;49;0
ACC-073;Pro;15;2;199;0
ACC-074;Pro;20;4;199;0
ACC-075;Enterprise;179;1;999;0
ACC-076;Starter;9;1;49;1
ACC-077;Pro;14;0;199;0
ACC-078;Starter;5;1;49;0
ACC-079;Starter;3;0;49;1
ACC-080;Starter;6;0;49;1
ACC-081;Enterprise;315;61;999;0
ACC-082;Pro;12;0;199;0
ACC-083;Starter;8;0;49;0
ACC-084;Pro;26;1;199;1
ACC-085;Pro;43;3;199;1
ACC-086;Pro;16;0;199;0
ACC-087;Starter;3;0;49;0
ACC-088;Pro;38;7;199;1
ACC-089;Pro;32;4;199;0
ACC-090;Pro;31;3;199;0
ACC-091;Starter;4;0;49;0
ACC-092;Starter;9;0;49;0
ACC-093;Starter;3;0;49;0
ACC-094;Enterprise;209;19;999;0
ACC-095;Starter;1;0;49;0
ACC-096;Enterprise;172;9;999;0
ACC-097;Starter;1;0;49;0
ACC-098;Pro;34;0;199;1
ACC-099;Pro;19;2;199;0
ACC-100;Starter;1;0;49;0
ACC-101;Pro;17;0;199;1
ACC-102;Starter;7;0;49;0
ACC-103;Pro;19;0;199;0
ACC-104;Enterprise;105;13;999;0
ACC-105;Starter;5;1;49;0
ACC-106;Starter;6;2;49;0
ACC-107;Enterprise;98;4;999;0
ACC-108;Starter;6;0;49;0
ACC-109;Pro;21;1;199;0
ACC-110;Pro;42;0;199;0
ACC-111;Pro;20;0;199;0
ACC-112;Enterprise;103;2;999;0
ACC-113;Starter;9;0;49;0
ACC-114;Starter;4;0;49;0
ACC-115;Starter;5;0;49;0
ACC-116;Pro;34;5;199;0
ACC-117;Starter;9;0;49;0
ACC-118;Starter;4;0;49;0
ACC-119;Starter;2;0;49;0
ACC-120;Starter;4;0;49;0
ACC-121;Enterprise;396;27;999;0
ACC-122;Pro;30;5;199;0
ACC-123;Starter;1;0;49;0
ACC-124;Starter;7;0;49;0
ACC-125;Pro;27;2;199;0
ACC-126;Enterprise;460;29;999;0
ACC-127;Starter;6;0;49;1
ACC-128;Enterprise;81;6;999;0
ACC-129;Starter;4;0;49;0
ACC-130;Pro;48;1;199;0
ACC-131;Pro;16;0;199;0
ACC-132;Enterprise;481;46;999;0
ACC-133;Enterprise;323;16;999;0
ACC-134;Pro;16;1;199;0
ACC-135;Pro;31;2;199;0
ACC-136;Starter;7;0;49;0
ACC-137;Pro;45;10;199;0
ACC-138;Starter;5;0;49;0
ACC-139;Pro;41;1;199;0
ACC-140;Starter;3;0;49;0
ACC-141;Starter;4;0;49;0
ACC-142;Enterprise;367;53;999;0
ACC-143;Pro;10;0;199;0
ACC-144;Starter;4;0;49;0
ACC-145;Starter;8;0;49;0
ACC-146;Pro;20;1;199;0
ACC-147;Pro;22;0;199;1
ACC-148;Pro;33;0;199;0
ACC-149;Pro;20;1;199;0
ACC-016;Starter;9;0;49;0
ACC-017;Pro;45;1;199;0
ACC-018;Enterprise;479;2;999;0
ACC-019;Starter;5;0;49;0
ACC-020;Starter;1;0;49;0
ACC-021;Starter;7;1;49;0
ACC-022;Starter;8;0;49;0
ACC-023;Starter;6;0;49;0
ACC-024;Pro;25;4;199;0
ACC-025;Starter;6;0;49;0
ACC-026;Pro;25;1;199;0
ACC-027;Starter;2;0;49;0
ACC-028;Starter;7;1;49;0
ACC-029;Enterprise;304;1;999;0
ACC-030;Starter;5;0;49;1
ACC-031;Enterprise;154;25;999;0
ACC-032;Pro;24;0;199;1
ACC-033;Pro;26;8;199;0
ACC-034;Pro;10;0;199;0
ACC-035;Pro;23;2;199;0
ACC-036;Enterprise;167;45;999;1
ACC-037;Starter;5;0;49;0
ACC-038;Starter;1;0;49;0
