Date;Region;Prix_Unitaire;Quantite_Vendue;Budget_Pub;Remise_Pct;Chiffre_Affaires;Satisfaction_Client
2025-01-05;IDF;15,50;120;500;0;1860;8,5
2025-01-12;IDF;15,50;140;600;0;2170;8,2
2025-01-19;IDF;15,50;110;450;5;1619,75;7,9
2025-01-26;IDF;15,50;135;550;0;2092,50;8,4
2025-02-02;PACA;14,00;90;300;0;1260;6,8
2025-02-09;PACA;14,00;95;350;0;1330;7,1
2025-02-16;PACA;14,00;85;300;10;1071;6,5
2025-02-23;PACA;14,00;100;400;0;1400;7,3
2025-03-02;Nord;16,00;200;1200;0;3200;9,1
2025-03-09;Nord;16,00;210;1300;0;3360;9,0
2025-03-16;Nord;16,00;190;1100;5;2888;8,8
2025-03-23;Nord;16,00;220;1400;0;3520;9,3
2025-03-30;Nord;16,00;205;1250;0;3280;9,2
2025-04-06;IDF;15,50;130;520;0;2015;8,3
2025-04-13;IDF;15,50;N/D;500;0;;8,0
2025-04-20;IDF;15,50;125;480;5;1840,62;8,1
2025-04-27;IDF;15,50;145;650;0;2247,50;8,6
2025-05-04;PACA;14,00;105;420;0;1470;7,5
2025-05-11;PACA;14,00;110;450;0;1540;7,6
2025-05-18;PACA;14,00;100;400;5;1330;7,4
2025-05-25;PACA;14,00;115;480;0;1610;7,7
2025-06-01;Nord;16,00;230;1500;0;3680;9,4
2025-06-08;Nord;16,00;240;1600;0;3840;9,5
2025-06-15;Nord;16,00;225;1450;5;3420;9,2
2025-06-22;Nord;16,00;250;1700;0;4000;9,6
2025-06-29;Nord;16,00;235;1550;0;3760;9,4
2025-07-06;IDF;15,50;150;700;0;2325;8,7
2025-07-13;IDF;15,50;160;750;0;2480;8,9
2025-07-20;IDF;15,50;140;600;10;1953;8,2
2025-07-27;IDF;15,50;155;720;0;2402,50;8,8
2025-08-03;PACA;14,00;120;500;0;1680;7,9
2025-08-10;PACA;14,00;125;530;0;1750;8,0
2025-08-17;PACA;14,00;115;480;5;1529,50;7,8
2025-08-24;PACA;14,00;130;560;0;1820;8,1
2025-08-31;PACA;14,00;120;510;0;1680;7,9
2025-09-14;Grand Est;14.5;104;399;5;1432.6;7.3
2025-09-21;Nord;16.0;154;925;0;2464.0;8.8
2025-09-28;Nord;16.0;168;781;0;2688.0;9.4
2025-10-05;Nord;16.0;132;760;0;2112.0;9.4
2025-10-12;Occitanie;13.5;112;264;5;1436.4;7.4
2025-10-19;Hauts de France;15.0;57;358;0;855.0;7.9
2025-10-26;IDF;15.5;105;506;5;1546.12;7.8
2025-11-02;Grand Est;14.5;78;389;0;1131.0;7.8
2025-11-09;Occitanie;13.5;64;222;0;864.0;7.8
2025-11-16;Occitanie;13.5;106;298;0;1431.0;7.4
2025-11-23;Nord;16.0;137;1140;10;1972.8;8.9
2025-11-30;IDF;15.5;112;410;5;1649.2;8.0
2025-12-07;Nord;16.0;115;1141;10;1656.0;8.6
2025-12-14;Nord;16.0;208;1065;5;3161.6;9.0
2025-12-21;Occitanie;13.5;138;356;0;1863.0;7.3
2025-12-28;Grand Est;14.5;106;499;0;1537.0;8.0
2026-01-04;Hauts de France;15.0;215;610;0;3225.0;8.3
2026-01-11;IDF;15.5;187;702;0;2898.5;7.9
2026-01-18;Occitanie;13.5;150;412;0;2025.0;7.7
2026-01-25;Grand Est;14.5;224;513;0;3248.0;7.8
2026-02-01;Hauts de France;15.0;110;663;0;1650.0;8.0
2026-02-08;PACA;14.0;190;380;0;2660.0;7.7
2026-02-15;IDF;15.5;119;818;5;1752.27;7.5
2026-02-22;Nord;16.0;97;1837;0;1552.0;9.8
2026-03-01;IDF;15.5;102;856;0;1581.0;8.1
2026-03-08;Grand Est;14.5;226;697;10;2949.3;7.2
2026-03-15;Hauts de France;15.0;201;623;0;3015.0;8.2
2026-03-22;Hauts de France;15.0;185;755;0;2775.0;8.5
2026-03-29;Nord;16.0;136;1851;0;2176.0;9.4
2026-04-05;Nord;16.0;189;1584;0;3024.0;9.3
2026-04-12;Grand Est;14.5;316;751;0;4582.0;7.9
2026-04-19;Occitanie;13.5;317;538;0;4279.5;7.9
2026-04-26;IDF;15.5;238;887;0;3689.0;8.3
2026-05-03;Occitanie;13.5;279;518;0;3766.5;7.7
2026-05-10;Occitanie;13.5;213;450;0;2875.5;8.1
2026-05-17;Grand Est;14.5;118;492;0;1711.0;7.6
2026-05-24;Grand Est;14.5;250;690;0;3625.0;7.8
2026-05-31;Occitanie;13.5;140;408;0;1890.0;7.7
2026-06-07;Nord;16.0;126;1227;10;1814.4;9.3
2026-06-14;Occitanie;13.5;108;330;0;1458.0;7.7
2026-06-21;Occitanie;13.5;222;337;0;2997.0;7.4
2026-06-28;Occitanie;13.5;88;430;0;1188.0;7.9
2026-07-05;Nord;16.0;234;1066;0;3744.0;8.7
2026-07-12;Occitanie;13.5;233;277;0;3145.5;7.4
2026-07-19;Hauts de France;15.0;167;568;0;2505.0;7.9
2026-07-26;IDF;15.5;142;559;0;2201.0;8.1
2026-08-02;Hauts de France;15.0;191;502;0;2865.0;7.9
2026-08-09;Grand Est;14.5;155;441;5;2135.12;7.2
2026-08-16;Occitanie;13.5;81;336;0;1093.5;7.6
2026-08-23;IDF;15.5;124;512;0;1922.0;8.2
2026-08-30;Hauts de France;15.0;133;442;0;1995.0;8.4
2026-09-06;PACA;14.0;99;299;5;1316.7;7.9
2026-09-13;IDF;15.5;98;417;0;1519.0;8.4
2026-09-20;Hauts de France;15.0;171;409;0;2565.0;8.3
